Date,Open,High,Low,Close,Volume
26-Jun-13,103.80,105.87,102.66,105.72,6610159
25-Jun-13,103.10,104.20,100.55,102.40,5850832
24-Jun-13,96.50,102.87,95.30,101.49,7127020
21-Jun-13,103.70,103.70,97.50,99.55,11714123
20-Jun-13,104.65,107.13,99.45,100.65,10111221
19-Jun-13,102.06,106.67,102.01,104.68,8588734
18-Jun-13,101.75,103.98,99.20,103.39,8803563
17-Jun-13,103.60,104.75,101.20,102.20,7075640
14-Jun-13,100.00,102.52,99.33,100.30,6554483
13-Jun-13,99.00,99.28,95.12,98.18,5965124
12-Jun-13,96.80,100.48,95.75,97.73,9197523
11-Jun-13,98.18,98.68,94.05,94.47,7385845
10-Jun-13,98.93,102.52,98.57,100.05,9234215
7-Jun-13,98.00,102.90,96.70,102.04,10717217
6-Jun-13,95.25,99.27,95.11,97.35,9514406
5-Jun-13,93.66,97.97,89.11,95.37,12224731
4-Jun-13,92.75,96.42,92.40,94.84,8856045
3-Jun-13,93.51,97.62,88.25,92.59,19143475
31-May-13,106.26,106.44,97.73,97.76,15171929
30-May-13,102.46,109.54,101.20,104.95,16140554
29-May-13,113.55,114.90,99.00,104.63,25099480
28-May-13,101.55,110.75,100.30,110.33,19691824
24-May-13,92.60,97.95,92.00,97.08,16124194
23-May-13,84.80,93.01,83.05,92.73,12044257
22-May-13,86.37,90.96,85.50,87.24,8573776
21-May-13,88.50,89.99,85.28,87.59,9001763
20-May-13,91.12,92.50,88.63,89.94,8348331
